row_number,restaurant_name_he,city_he,city_en,current_address_he,google_address_he,verdict,verdict_note,evidence_url,corroborating_urls,candidates,needs_review,search_note
87,פיצוחי הגליל כהן,חצור הגלילית,Hatzor HaGlilit,מעלה חוני המעגל 38,"אזור התעשייה 51, חצור הגלילית",CHANGED_BOTH,,https://www.dunsguide.co.il/C6095e78999a46a36c72b5c0e8ec59b76_%D7%A4%D7%99%D7%A6%D7%95%D7%97%D7%99%D7%9D_%D7%95%D7%A4%D7%99%D7%A8%D7%95%D7%AA_%D7%99%D7%91%D7%A9%D7%99%D7%9D/%D7%9B%D7%94%D7%9F_%D7%99%D7%94%D7%95%D7%93%D7%94/,https://www.b144.co.il/b144_sip/4D120D104570655F491405/; https://441il.com/list/%D7%A4%D7%99%D7%A6%D7%95%D7%97%D7%99+%D7%94%D7%92%D7%9C%D7%99%D7%9C+%D7%9B%D7%94%D7%9F+%D7%A9%D7%9C%D7%95%D7%9D/%D7%90%D7%96%D7%95%D7%A8+%D7%AA%D7%A2%D7%A9%D7%99%D7%94+%D7%97%D7%A6%D7%95%D7%A8+51+%D7%97%D7%A6%D7%95%D7%A8+%D7%94%D7%92%D7%9C%D7%99%D7%9C%D7%99%D7%AA/04/6931002.html,,FALSE,found address (industrial zone) differs from corpus street address
88,קצפת,ירושלים,Jerusalem,שד' הרצל 102 בית הכרם,"שד' הרצל 102, ירושלים",SAME,,https://easy.co.il/en/page/25882211,https://il.polomap.com/%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D/28760; https://kosheronly.net/restaurant/%D7%A7%D7%A6%D7%A4%D7%AA-%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D-%D7%91%D7%99%D7%AA-%D7%94%D7%9B%D7%A8%D7%9D/,,FALSE,
89,מאפיית לחם פיינגולד,ירושלים,Jerusalem,עוזיאל 92 בית וגן,"האומן 29, ירושלים (תלפיות)",CHANGED_BOTH,,https://www.d.co.il/80332903/22620/,https://www.rest.co.il/rest/80332903/; https://feingold.co.il/; https://www.kolhair.co.il/food/113654/,,FALSE,"found address is in Talpiot, not Beit VeGan as in corpus; sources consistently agree on Ha'uman 29"
90,סושי בית וגן,ירושלים,Jerusalem,הפסגה 37 בית וגן,"הפסגה 37, ירושלים",SAME,,https://easy.co.il/en/page/3078293,https://www.kosharot.co.il/index2.php?id=432558&lang=HEB; https://wolt.com/en/isr/jerusalem/restaurant/sushi-bayit-vegan-jerusalem,,FALSE,
91,מזנון הפסגה,ירושלים,Jerusalem,הפסגה 23 בית וגן,"הפסגה 10, ירושלים",CHANGED_NUMBER,,https://www.d.co.il/21782750/25140/,https://www.dunsguide.co.il/C70dce4372e7d7607fc51738254bbbe0a_%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA/%D7%9E%D7%96%D7%A0%D7%95%D7%9F_%D7%94%D7%A4%D7%A1%D7%92%D7%94/; https://www.kosharot.co.il/index2.php?id=400024&lang=HEB,,FALSE,found house number (10) differs from corpus (23); phone number matches corpus exactly
92,קצפת,ירושלים,Jerusalem,ישראל זנגוויל 1 בית וגן,"ישראל זנגוויל 1, ירושלים",SAME,,https://easy.co.il/en/page/27166376,https://katsefet.co.il/%D7%A1%D7%A0%D7%99%D7%A4%D7%99%D7%9D/,,FALSE,
93,נוגטין,ירושלים,Jerusalem,עוזיאל 28 בית וגן,,AMBIGUOUS,,,,"הרב עוזיאל 28, ירושלים (https://www.d.co.il/80077965/43740/); הרב עוזיאל 86, ירושלים (https://easy.co.il/en/page/9182400)",FALSE,two different house numbers across listing sites; phone number matches corpus on the '28' listing
94,קצפת,ירושלים,Jerusalem,שמגר 16 קניון רב שפע בעלז,"שמגר 16, קניון רב שפע, ירושלים",SAME,,https://www.d.co.il/61931300/31810/,https://www.rest.co.il/rest/80138304/; https://rest.jdn.co.il/rest/1539/,,FALSE,
95,מיני קצפת,ירושלים,Jerusalem,שמגר 21 בעלז,,NOT_FOUND,,,,,FALSE,no credible business-listing page found for this exact business name/address after two searches
96,בורגר ביט,ירושלים,Jerusalem,שמגר 16 קניון רב שפע בעלז,"שמגר 16, קניון רב שפע, ירושלים",SAME,,https://easy.co.il/en/page/6606810,https://www.kosharot.co.il/index2.php?id=411901&lang=HEB; https://rest.jdn.co.il/rest/1466/,,FALSE,phone number matches corpus exactly
97,מיסטר בייגל,ירושלים,Jerusalem,שמגר 16 קניון רב שפע בעלז,"שמגר 16, קניון רב שפע, ירושלים",SAME,,https://easy.co.il/page/26824802,https://www.kosharot.co.il/index2.php?id=434036&lang=HEB,,FALSE,
98,מאפיית THE RYE,ירושלים,Jerusalem,הרב סרוצקין 18 בעלז,"הרב סרוצקין 18, ירושלים (בעלז)",SAME,,https://miluim.hanochdaum.com/business/3402/,,,FALSE,phone number matches corpus exactly
99,מיץ פרי,ירושלים,Jerusalem,הישיבה 1 גאולה,"הישיבה 1, גאולה, ירושלים",SAME,,https://www.kosharot.co.il/index2.php?id=400293&lang=HEB,https://openinghours.co.il/%D7%9E%D7%99%D7%A5-%D7%A4%D7%A8%D7%99-%D7%94%D7%99%D7%A9%D7%99%D7%91%D7%94-1-%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D,,FALSE,phone number matches corpus exactly
100,סאם בייגל,ירושלים,Jerusalem,מלכי ישראל 26 גאולה,"מלכי ישראל 26, גאולה, ירושלים",SAME,,https://www.d.co.il/80011944/8930/,https://www.2eat.co.il/restaurant.aspx?restid=17122; https://www.kosharot.co.il/index2.php?id=400039&lang=HEB,,FALSE,phone number matches corpus exactly
101,קרדו בייקרי,ירושלים,Jerusalem,מלכי ישראל 34 גאולה,,NOT_FOUND,,,,,FALSE,no listing found for this business name; search returned only unrelated 'Cardo' historical/street results
102,טשולנט על הגג,ירושלים,Jerusalem,מלכי ישראל 5 גאולה,"מלכי ישראל 5, גאולה, ירושלים",SAME,,https://jerusalem.mynet.co.il/food_leisure/article/rkyzeqp8je,,,FALSE,"found via media article on cholent restaurants, not a directory listing"
103,חלב ודבש בוטיק קפה,ירושלים,Jerusalem,ההגנה 21 מרכז מסחרי גבעה הצרפתית,"ההגנה 21, ירושלים",SAME,,https://www.d.co.il/80376483/8930/,https://easy.co.il/en/page/10136427; https://www.rest.co.il/rest/80376483/; https://www.kosharot.co.il/index2.php?id=436477&lang=HEB,,FALSE,
104,ריז בורגר,ירושלים,Jerusalem,כנפי נשרים 13 גבעת שאול,"כנפי נשרים 13, ירושלים",SAME,,https://www.d.co.il/80383675/30455/,https://easy.co.il/page/27298830; https://www.kosharot.co.il/index2.php?id=440433&lang=HEB,,FALSE,
105,פיצה לארי,ירושלים,Jerusalem,כנפי נשרים 66 גבעת שאול,"כנפי נשרים 66, ירושלים",SAME,,https://www.d.co.il/41255890/39460/,https://www.rest.co.il/rest/41255890/; https://www.netpage.co.il/%D7%A4%D7%99%D7%A6%D7%A8%D7%99%D7%95%D7%AA/%D7%A4%D7%99%D7%A6%D7%94-%D7%9C%D7%90%D7%A8%D7%99.htm,,FALSE,
106,איטליז מטעם חפץ חיים,ירושלים,Jerusalem,בית הדפוס 13 גבעת שאול,,AMBIGUOUS,,,,"בית הדפוס 15, ירושלים (https://www.d.co.il/80108966/7280/); אגריפס 30, ירושלים (https://www.d.co.il/9357750/2490/)",FALSE,listings disagree on address for this exact business name
107,יוסלה מוקיר שבת,ירושלים,Jerusalem,אלקבץ 2 גבעת שאול,,AMBIGUOUS,,,,"שלמה אלקבץ 4, ירושלים (https://easy.co.il/page/26885851); שלמה אלקבץ 2, ירושלים (https://www.waze.com/he/live-map/directions/il/directions?to=place.w.23068990.230624363.220851)",FALSE,"sources disagree on house number, 2 vs 4"
108,ביג אפל פיצה,ירושלים,Jerusalem,כנפי נשרים 35 גבעת שאול,,AMBIGUOUS,,,,"כנפי נשרים 35, גבעת שאול, ירושלים (https://www.bigapplepizza.co.il/en/branches/%D7%A1%D7%A0%D7%99%D7%A3-%D7%92%D7%91%D7%A2%D7%AA-%D7%A9%D7%90%D7%95%D7%9C/); אביזוהר 8, בית הכרם, ירושלים (https://www.openclosed.co.il/%D7%A8%D7%99%D7%A9%D7%95%D7%9D/%D7%91%D7%99%D7%92-%D7%90%D7%A4%D7%9C-%D7%A4%D7%99%D7%A6%D7%94-%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D-%D7%91%D7%99%D7%AA-%D7%9B%D7%A8%D7%9D/); הגננת 240, גילה, ירושלים (https://www.bigapplepizza.co.il/en/branches/%D7%A1%D7%A0%D7%99%D7%A3-%D7%92%D7%99%D7%9C%D7%94/); יוחנן בן זכאי 7, קטמון, ירושלים (https://www.openclosed.co.il/%D7%A8%D7%99%D7%A9%D7%95%D7%9D/%D7%91%D7%99%D7%92-%D7%90%D7%A4%D7%9C-%D7%A4%D7%99%D7%A6%D7%94-%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D-%D7%A9%D7%9B%D7%95%D7%A0%D7%AA-%D7%A7%D7%98%D7%9E%D7%95%D7%9F/)",FALSE,chain with multiple Jerusalem branches; Givat Shaul branch page matches corpus address exactly
109,מוסקט,ירושלים,Jerusalem,כנפי נשרים 24 גבעת שאול,"כנפי נשרים 24, ירושלים",SAME,,https://www.d.co.il/31434010/30442/,https://www.rest.co.il/rest/31434010/; https://www.kosharot.co.il/index2.php?id=400047&lang=HEB; https://www.rol.co.il/restaurant/moskat-jerusalem,,FALSE,
110,מאמא טעם של בית,ירושלים,Jerusalem,עם ועולמו 3 גבעת שאול,"עם ועולמו 3, ירושלים",SAME,,https://easy.co.il/page/10101243,https://www.kosharot.co.il/index2.php?id=436478&lang=HEB,,FALSE,
111,סי דג,ירושלים,Jerusalem,יעקב אהליהב 5 גבעת שאול,,NOT_FOUND,,,,,FALSE,"found business listings (facebook, jerusalem religious council registry) but none rendered a verifiable street address; two candidate pages were egress-blocked"
112,פאזל סלט קפה ובייגל,ירושלים,Jerusalem,כנפי נשרים 10 גבעת שאול,"כנפי נשרים 10, גבעת שאול, ירושלים",SAME,,https://www.d.co.il/80197604/8930/,https://easy.co.il/en/page/20574427; https://www.rest.co.il/rest/80197604/; https://www.kosharot.co.il/index2.php?id=432562&lang=HEB,,FALSE,
113,קצפת,ירושלים,Jerusalem,כנפי נשרים 35 גבעת שאול,"כנפי נשרים 35, ירושלים",SAME,,https://www.d.co.il/80087351/9010163/,https://www.rest.co.il/rest/80087351/; https://www.kosharot.co.il/index2.php?id=436479&lang=HEB,,FALSE,
114,נוגטין,ירושלים,Jerusalem,המרפא 1 הר חוצבים,,AMBIGUOUS,,,,"הרב עוזיאל 86, ירושלים (https://easy.co.il/en/page/9182400); הרב עוזיאל 28, ירושלים (https://www.rest.co.il/rest/80077965/); שאולזון 49, ירושלים (https://www.kosharot.co.il/index2.php?id=412952&lang=HEB)",FALSE,"multiple distinct addresses found under the name Nougatine; none match corpus address (HaMarpe 1, Har Chotzvim); likely multiple branches/locations"
115,"ד""ר פיצה",ירושלים,Jerusalem,הרטום 10 הר חוצבים,"הרטום 10, ירושלים",SAME,,https://easy.co.il/en/page/10030514,https://www.rest.co.il/rest/80153776/; https://www.kosharot.co.il/index2.php?id=400032&lang=HEB,,FALSE,
116,רודריגז,ירושלים,Jerusalem,קרית מדע 3 הר חוצבים,"קרית מדע 3, ירושלים",SAME,,https://www.d.co.il/80152173/30420/,https://www.rest.co.il/rest/80152173/; https://easy.co.il/en/page/10001547,,FALSE,
117,סאם בורגר,ירושלים,Jerusalem,קרית מדע 3 הר חוצבים,"קרית מדע 3, ירושלים",SAME,,https://www.d.co.il/80308540/30420/,https://www.rest.co.il/rest/80308540/; https://www.kosharot.co.il/index2.php?id=415790&lang=HEB,,FALSE,
118,חומוס אליהו,ירושלים,Jerusalem,קרית מדע 3 הר חוצבים,"קרית מדע 3, ירושלים",SAME,,https://easy.co.il/en/page/10099027,https://wolt.com/en/isr/jerusalem/restaurant/hummus-eliyahu-kiryat-hamada; https://www.kosharot.co.il/index2.php?id=422768&lang=HEB,,FALSE,
119,קייטרינג לה קארט,ירושלים,Jerusalem,קצנלבויגן 55 הר נוף,,NOT_FOUND,,,,,FALSE,"kosharot listing confirms street name (Katzenelbogen) only, no house number found on any listing"
120,בייגלס הר נוף,ירושלים,Jerusalem,שאולזון 58 הר נוף,"הרב ש. שאולזון 58, ירושלים",SAME,one source names the street more fully than the other,https://www.d.co.il/80187211/30420/,https://easy.co.il/en/page/9175984; https://www.kosharot.co.il/index2.php?id=400049&lang=HEB,,FALSE,
121,נוגטין,ירושלים,Jerusalem,שאולזון 49 הר נוף,,AMBIGUOUS,,,,"הרב עוזיאל 86, ירושלים (https://easy.co.il/en/page/9182400); הרב עוזיאל 28, ירושלים (https://www.rest.co.il/rest/80077965/); שאולזון 49, ירושלים (https://www.kosharot.co.il/index2.php?id=412952&lang=HEB)",FALSE,"multiple distinct addresses found under the name Nougatine; one candidate (Shaulzon 49) matches corpus, but business appears to have several locations under the same name"
122,סושי בית וגן,ירושלים,Jerusalem,כדורי יצחק 2 הר חומה,"כדורי יצחק 2, ירושלים",SAME,,https://www.kosharot.co.il/index2.php?id=443934&lang=HEB,https://wolt.com/en/isr/jerusalem/restaurant/sushi-bayit-vegan-har-homa; https://www.facebook.com/p/%D7%A1%D7%95%D7%A9%D7%99-%D7%91%D7%99%D7%AA-%D7%95%D7%92%D7%9F-%D7%A1%D7%A0%D7%99%D7%A3-%D7%94%D7%A8-%D7%97%D7%95%D7%9E%D7%94-61584396823357/,,FALSE,
123,סושי טוקיו,ירושלים,Jerusalem,זוננפלד 12 מיר,,AMBIGUOUS,,,,"הרב זוננפלד 12, ירושלים (בית ישראל) (https://easy.co.il/page/27021098); אגריפס 111, ירושלים (מחנה יהודה) (https://www.d.co.il/80366568/30456/)",FALSE,chain with more than one Jerusalem branch; Zunenfeld 12 branch matches corpus address
124,פליימס,ירושלים,Jerusalem,בית ישראל 2 מיר,"בית ישראל 2, ירושלים",SAME,,https://www.d.co.il/80354854/35790/,https://easy.co.il/page/10098984; https://www.rest.co.il/rest/80354854/,,FALSE,
125,טשולנט עולמי / מיטיים,ירושלים,Jerusalem,הנגר 2 מיר,"הנגר 2, ירושלים",SAME,,https://www.kosharot.co.il/index2.php?id=428596&lang=HEB,https://www.kosharot.co.il/index2.php?id=441599&lang=HEB; https://wolt.com/en/isr/jerusalem/restaurant/cholent-olami,,FALSE,
126,פיזליה,ירושלים,Jerusalem,משה הס 3 ממילה,"משה הס 3, ירושלים",SAME,,https://wolt.com/he/isr/jerusalem/restaurant/pizzelia-je,,,FALSE,only a delivery aggregator listing corroborates the address
127,פיצה פפידו,ירושלים,Jerusalem,שטראוס 3 מרכז,"שטראוס 3, ירושלים",SAME,,https://www.d.co.il/80386727/39460/,https://www.rest.co.il/rest/80386727/; https://www.kosharot.co.il/index2.php?id=440437&lang=HEB,,FALSE,
128,פיצה האט TAKE AWAY,ירושלים,Jerusalem,בן הלל 15 מרכז,,AMBIGUOUS,,,,"מרדכי בן הלל 15, ירושלים (https://www.pizzahut.co.il/branch/jerusalem-ben-hilel/); יפו 228 (תחנה מרכזית), ירושלים (https://www.pizzahut.co.il/branch/jerusalem-central/)",FALSE,chain with multiple Jerusalem branches; Ben Hillel branch page matches corpus address exactly
129,פיצה האט TAKE AWAY,ירושלים,Jerusalem,יפו 228 מרכז,,AMBIGUOUS,,,,"מרדכי בן הלל 15, ירושלים (https://www.pizzahut.co.il/branch/jerusalem-ben-hilel/); יפו 228 (תחנה מרכזית), ירושלים (https://www.pizzahut.co.il/branch/jerusalem-central/)",FALSE,chain with multiple Jerusalem branches; Central Station (Yafo 228) branch page matches corpus address exactly
130,סושי פיוז,ירושלים,Jerusalem,מרכז,,AMBIGUOUS,,,,"כנפי נשרים 20, ירושלים (https://easy.co.il/page/27112429); שמעון הצדיק 22, ירושלים (https://kosher-basviva.com/restaurant-details/69fb3ede44aa71ec4f6be4dd/%D7%A1%D7%95%D7%A9%D7%99%20%D7%A4%D7%99%D7%95%D7%96)",FALSE,listings disagree on street address
131,מאפיית לחם פיינגולד,ירושלים,Jerusalem,פינת האפרסק 1 מרכז,,AMBIGUOUS,,,,"האומן 29, ירושלים (https://www.d.co.il/80332903/22620/); ירמיהו 68, ירושלים (https://www.kosharot.co.il/index2.php?id=436485&lang=HEB); פארן 7 (מרכז מסחרי רמת אשכול), ירושלים (https://www.kolhair.co.il/food/113654/)",FALSE,multiple bakery locations found; none match corpus address (Pinat HaAfarsek 1)
132,MEAT CHOICE,ירושלים,Jerusalem,אגריפס 88 מרכז,"אגריפס 88, ירושלים",SAME,,https://il.revieweuro.com/jerusalem/meat-choice-2370242,https://www.waze.com/live-map/directions/meat-choice-%D7%90%D7%92%D7%A8%D7%99%D7%A4%D7%A1-88-%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D?to=place.w.23068990.230755435.483568,,FALSE,phone matches corpus (+972 2-677-0779)
133,סושי טוקיו,ירושלים,Jerusalem,אגריפס 111 מרכז,"אגריפס 111, ירושלים",SAME,,https://www.d.co.il/80366568/30456/,https://www.rest.co.il/rest/80366568/; https://easy.co.il/en/page/10120494,,FALSE,
134,איטליז מטעם חפץ חיים,ירושלים,Jerusalem,אגריפס 8 מרכז,,AMBIGUOUS,,,,"אגריפס 30, ירושלים (https://www.d.co.il/9357750/2490/); בית הדפוס 15, ירושלים (https://www.d.co.il/80108966/7280/)",FALSE,"two distinct d.co.il listings under this name, different streets; neither matches corpus address"
135,מגדניית מרציפן,ירושלים,Jerusalem,אגריפס 44 מרכז,"אגריפס 44, ירושלים",SAME,,https://www.d.co.il/21796610/43740/,https://easy.co.il/en/page/10018847; https://www.t.co.il/Business/Card-774040.html,,FALSE,
136,מגדניית מרציפן,ירושלים,Jerusalem,אגריפס 81 מרכז,,NOT_FOUND,,,,,FALSE,"second kosharot.co.il listing id (432567) exists distinct from the Agripas-44 one, but page fetch was blocked (egress) so address could not be confirmed from source text; not reported as FOUND"
137,גבינה ועגבניה,ירושלים,Jerusalem,המלך ג'ורג' 52 מרכז,"המלך ג'ורג' 52, ירושלים",SAME,,https://www.d.co.il/80223344/39460/,https://easy.co.il/en/page/9215368,,FALSE,
138,פיצה האט,ירושלים,Jerusalem,זלמן שניאור 1 ת. דקל מנטה ניות,"זלמן שניאור 1, ירושלים",SAME,,https://www.d.co.il/40641840/39460/,https://pizzadelivery.co.il/%D7%A4%D7%99%D7%A6%D7%94-%D7%94%D7%90%D7%98-%D7%99%D7%A8%D7%95%D7%A9%D7%9C%D7%99%D7%9D-%D7%A0%D7%99%D7%95%D7%AA/,,FALSE,chain (Pizza Hut); this specific branch listing matches corpus street
139,פיצה רויאל,ירושלים,Jerusalem,מרכז מסחרי נווה יעקב,"מרכז מסחרי נווה יעקב מול הקו אופ, ירושלים",SAME,one source names the street more fully than the other; house number missing on one side; compared on street name only,https://www.d.co.il/80092444/39460/,https://easy.co.il/page/8848751; https://www.kosharot.co.il/index2.php?id=400102&lang=HEB,,FALSE,
140,מפגש האש שלי,ירושלים,Jerusalem,מרכז מסחרי נווה יעקב,"שד' נוה יעקב 611, ירושלים",CHANGED_STREET,house number missing on one side; compared on street name only,https://www.d.co.il/80383742/30455/,https://easy.co.il/en/page/10145427; https://www.kosharot.co.il/index2.php?id=436481&lang=HEB,,FALSE,"listing describes location as Pisgat Ze'ev, not the corpus's generic 'מרכז מסחרי נווה יעקב'"
141,לעילא,ירושלים,Jerusalem,עלי הכהן 15 עזרת תורה,,NOT_CHECKED,,,,,FALSE,first search inconclusive; narrowing retry could not run - WebSearch session budget exhausted
142,מאפיית לחם פיינגולד,ירושלים,Jerusalem,"הפלמ""ח 42 עמק רפאים",,NOT_CHECKED,,,,,FALSE,not processed - WebSearch session budget exhausted before this row could be searched
143,מאפיית לחם פיינגולד,ירושלים,Jerusalem,הרכבת 20 קטמון,,NOT_CHECKED,,,,,FALSE,not processed - WebSearch session budget exhausted before this row could be searched
144,פיצה האט,ירושלים,Jerusalem,אורגוואי 1 מרכז מסחרי קרית יובל,,NOT_CHECKED,,,,,FALSE,not processed - WebSearch session budget exhausted before this row could be searched
145,סושי טוקיו,ירושלים,Jerusalem,תפארת ישראל 7 רובע יהודי,,NOT_CHECKED,,,,,FALSE,not processed - WebSearch session budget exhausted before this row could be searched
146,מיט סטיישן,ירושלים,Jerusalem,תפארת ישראל 2 רובע יהודי,,NOT_CHECKED,,,,,FALSE,not processed - WebSearch session budget exhausted before this row could be searched
147,פאפס,ירושלים,Jerusalem,תפארת ישראל 2 רובע יהודי,,NOT_CHECKED,,,,,FALSE,not processed - WebSearch session budget exhausted before this row could be searched
148,גלידה ברובע,ירושלים,Jerusalem,תפארת ישראל 18 רובע יהודי,,NOT_CHECKED,,,,,FALSE,not processed - WebSearch session budget exhausted before this row could be searched
149,סלט אקספרס,ירושלים,Jerusalem,משגב לדך 40 רובע יהודי,,NOT_CHECKED,,,,,FALSE,not processed - WebSearch session budget exhausted before this row could be searched
150,מעדני השבת,ירושלים,Jerusalem,"חב""ד 62 רובע יהודי",,NOT_CHECKED,,,,,FALSE,not processed - WebSearch session budget exhausted before this row could be searched
151,קצפת,ירושלים,Jerusalem,היהודים 123 רובע יהודי,,NOT_CHECKED,,,,,FALSE,not processed - WebSearch session budget exhausted before this row could be searched
152,פיצה מוצרלה,ירושלים,Jerusalem,בית אל 1 רובע יהודי,,NOT_CHECKED,,,,,FALSE,not processed - WebSearch session budget exhausted before this row could be searched
153,הולי בייגל,ירושלים,Jerusalem,תפארת ישראל 5 רובע יהודי,,NOT_CHECKED,,,,,FALSE,not processed - WebSearch session budget exhausted before this row could be searched
154,קינג סלמון,ירושלים,Jerusalem,ירמיהו 21 רוממה,,NOT_CHECKED,,,,,FALSE,not processed - WebSearch session budget exhausted before this row could be searched
155,אצה סושי בר,ירושלים,Jerusalem,ירמיהו 13 רוממה,,NOT_CHECKED,,,,,FALSE,not processed - WebSearch session budget exhausted before this row could be searched
156,קצפת,ירושלים,Jerusalem,שרי ישראל 15 רוממה,,NOT_CHECKED,,,,,FALSE,not processed - WebSearch session budget exhausted before this row could be searched
157,מאפיית לחם פיינגולד,ירושלים,Jerusalem,ירמיהו 68 רוממה,,NOT_CHECKED,,,,,FALSE,not processed - WebSearch session budget exhausted before this row could be searched
158,קצפת,ירושלים,Jerusalem,קרן קיימת 19 רחביה,"קרן קיימת לישראל 19, ירושלים",SAME,one source names the street more fully than the other,https://www.d.co.il/80332860/9010163/,https://easy.co.il/page/24954043,,FALSE,
159,מאפיית מזון פנאני,ירושלים,Jerusalem,"רמב""ן 8 רחביה","רמב""ן 8, ירושלים",SAME,,https://www.kosharot.co.il/index2.php?id=443944&lang=HEB,https://k-map.co.il/rest/%D7%9E%D7%90%D7%A4%D7%99%D7%99%D7%AA-%D7%9E%D7%96%D7%95%D7%9F-%D7%A4%D7%A0%D7%90%D7%A0%D7%99/,,FALSE,
160,גרין גוט פוד,ירושלים,Jerusalem,קרן קיימת 26 רחביה,"קרן קיימת 26, ירושלים",SAME,,https://www.kosharot.co.il/index2.php?id=400068&lang=HEB,https://www.b144.co.il/b144_sip/401C04134676635C48120D16.aspx; https://www.2eat.co.il/restaurant.aspx?restid=17574,,FALSE,"sources list the business as 'גרין גוד פוד' (Good, not Gut) but same address/phone as corpus"
161,הקפה של נתן,ירושלים,Jerusalem,אוסישקין 37 רחביה,,NOT_FOUND,,,,,FALSE,no listing found for this name; two searches surfaced only unrelated Ussishkin-named cafes in other cities
162,דה פורסט,ירושלים,Jerusalem,דרך החורש 90 רמות,"דרך החורש 90, ירושלים",SAME,,https://www.d.co.il/80382579/30420/,https://theforestcafe.co.il/he/contact/; https://www.rest.co.il/rest/80382579/,,FALSE,
163,פיצה האט,ירושלים,Jerusalem,שד' גולדה מאיר קניון רמות,"קניון רמות, שדרות גולדה מאיר, ירושלים",SAME,one source names the street more fully than the other; house number missing on one side; compared on street name only,https://www.pizzahut.co.il/branch/jerusalem-ramot/,https://ramot-mall.co.il/shops/2366/; https://rest.jdn.co.il/rest/1627/,,FALSE,
164,אדמה ציפס,ירושלים,Jerusalem,שד' גולדה מאיר קניון רמות,"שדרות גולדה מאיר 255, ירושלים",SAME,one source names the street more fully than the other; house number missing on one side; compared on street name only,https://www.kenyonim.com/store.asp?sid=14207,,,FALSE,mall directory lists it simply as 'אדמה' (without ציפס)
165,וופל בר,ירושלים,Jerusalem,שד' גולדה מאיר קניון רמות,"שדרות גולדה מאיר 255, שכונת רמות, ירושלים (קומה 3)",SAME,one source names the street more fully than the other; house number missing on one side; compared on street name only,https://www.d.co.il/80316394/8930/,https://waffle-bar.co.il/branches/%D7%A8%D7%9E%D7%95%D7%AA/; https://ramot-mall.co.il/shops/%D7%95%D7%95%D7%A4%D7%9C-%D7%91%D7%A8/,,FALSE,
166,ג'וסי בר,ירושלים,Jerusalem,שד' גולדה מאיר קניון רמות,,NOT_FOUND,,,,,FALSE,no listing found under this name in Ramot Mall directory or elsewhere; two searches (incl. with phone number) surfaced only unrelated Burgers Bar
167,הולי בייגל,ירושלים,Jerusalem,שד' גולדה מאיר קניון רמות,"גולדה מאיר 255, רמות אלון, ירושלים",SAME,one source names the street more fully than the other; house number missing on one side; compared on street name only,https://ramot-mall.co.il/shops/%D7%94%D7%95%D7%9C%D7%99-%D7%91%D7%99%D7%99%D7%92%D7%9C/,https://www.rest.co.il/rest/80129833/; https://easy.co.il/en/page/20023202,,FALSE,
168,קצפת,ירושלים,Jerusalem,שד' גולדה מאיר קניון רמות,"שדרות גולדה מאיר 255, שכונת רמות, ירושלים",SAME,one source names the street more fully than the other; house number missing on one side; compared on street name only,https://www.d.co.il/80157179/31810/,https://easy.co.il/page/27306893; https://ramot-mall.co.il/shops/%D7%A7%D7%A6%D7%A4%D7%AA/,,FALSE,chain with another branch in Rechavia (see row 158); this is the Ramot Mall branch
169,פיצה ירושלים 2,ירושלים,Jerusalem,כיסופים 801 רמות,"כיסופים 801, רמות אלון, ירושלים",SAME,,https://www.d.co.il/24282740/39460/,https://www.rest.co.il/rest/24282740/; https://www.kosharot.co.il/index2.php?id=436489&lang=HEB,,FALSE,
170,קייטרינג פריים,ירושלים,Jerusalem,רובין 30 רמות,,NOT_CHECKED,,,,,FALSE,no specific listing found for this catering business; only unrelated Jerusalem catering directories surfaced; retry search blocked by session web-search budget exhaustion
171,פסטה בר 20,ירושלים,Jerusalem,שד' גולדה מאיר קניון רמות,,NOT_CHECKED,,,,,FALSE,not checked - session web-search budget exhausted before this row could be searched
172,שימיס,ירושלים,Jerusalem,פארן 7 רמת אשכול,,NOT_CHECKED,,,,,FALSE,not checked - session web-search budget exhausted before this row could be searched
173,ביג אפל פיצה,ירושלים,Jerusalem,פארן 5 רמת אשכול,,NOT_CHECKED,,,,,FALSE,not checked - session web-search budget exhausted before this row could be searched
174,אין בורגר,ירושלים,Jerusalem,פארן 7 רמת אשכול,,NOT_CHECKED,,,,,FALSE,not checked - session web-search budget exhausted before this row could be searched
175,וופל בר,ירושלים,Jerusalem,פארן 7 רמת אשכול,,NOT_CHECKED,,,,,FALSE,not checked - session web-search budget exhausted before this row could be searched
176,מגדנית גרליץ,ירושלים,Jerusalem,מעבר המתלה 5 רמת אשכול,,NOT_CHECKED,,,,,FALSE,not checked - session web-search budget exhausted before this row could be searched
177,סאם בייגל,ירושלים,Jerusalem,פארן 15 רמת אשכול,,NOT_CHECKED,,,,,FALSE,not checked - session web-search budget exhausted before this row could be searched
178,מאפיית לחם פיינגולד,ירושלים,Jerusalem,פארן 7 רמת אשכול,,NOT_CHECKED,,,,,FALSE,not checked - session web-search budget exhausted before this row could be searched
