"name","address","city","opening_hours","certificate","phone","category","source_url"
"החברים","ז'בוטינסקי 61 מתחם ב.ס.ר סיטי פתח תקווה","פתח תקווה","א'-ה' 12:00-23:00","הרב מחפוד","077-9386161","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%94%D7%97%D7%91%D7%A8%D7%99%D7%9D"
"לחם בשר","תוצרת הארץ 3, פתח תקווה","פתח תקווה","ראשון-רביעי | 12:00 – 23:00
חמישי | 12:00 – 23:30","הרב מחפוד","077-230-7114","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%9C%D7%97%D7%9D-%D7%91%D7%A9%D7%A8"
"קפאו","מתחם ב.ס.ר סיטי, תוצרת הארץ 3, פתח תקווה","פתח תקווה","א' - ד': 12:00 - 23:00
ה': 12:00 - 00:00
ו': סגור
שבת: שעה אחרי צאת השבת - 00:00","בית יוסף","077-3622222","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%90%D7%95"
"בארכה גחלים","ירושלים 72 צפת","צפת","בימים א'-ד' 13:00-22:00
יום ה' 13:00-23:00","הרב מחפוד","04-6468484","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%90%D7%A8%D7%9B%D7%94-%D7%92%D7%97%D7%9C%D7%99%D7%9D"
"איסקנדר","רפטינג נהר הירדן","קיבוץ גדות","ראשון–חמישי: 12:00-20:00","מהדרין חצור הגלילית","072-3726528","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%90%D7%99%D7%A1%D7%A7%D7%A0%D7%93%D7%A8"
"הצלבנים","הנמל העתיק , קיסריה","קיסריה","יום ראשון עד חמישי 11:00-23:00
יום שישי 11:00 עד שעה וחצי לפני כניסת שבת
יום שבת חצי שעה אחרי צאת השבת - 23:00","בית יוסף","04-6361679","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%94%D7%A6%D7%9C%D7%91%D7%A0%D7%99%D7%9D"
"עתיקה","רחוב העמקים 1, קריית ביאליק","קרית ביאליק","ימים א׳- ה׳ בין השעות 12:00-22:00","הרב מחפוד","04-8402025","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A2%D7%AA%D7%99%D7%A7%D7%94"
"רובן","דרך עכו 192, קרית ביאליק","קרית ביאליק","ראשון – רביעי: 12:00-23:00
חמישי: 12:00-00:00
שישי:12:00-15:00
שבת: כשעה וחצי אחרי יציאת שבת עד 00:00","הרב מחפוד","0777242013","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A8%D7%95%D7%91%D7%9F-2"
"ארץ כנען","דרך הגליל, ראש פינה","ראש פינה","א'-ה' 17:00-23:00","הרב מחפוד","04-686-0107","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%90%D7%A8%D7%A5-%D7%9B%D7%A0%D7%A2%D7%9F"
"לחם בשר","משה בקר 13, הרובע, איזור התעשיה הישן, ראשון לציון","ראשון לציון","א – ד- 12:00 – 23:30
ה – 12:00 – 00:30
שישי – סגור
שבת – סגור","הרב מחפוד","03-9555511","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%9C%D7%97%D7%9D-%D7%91%D7%A9%D7%A8-1"
"קמפניה","ברשבסקי 8, ראשון לציון","ראשון לציון","יום א'-ה': 12:00 - 23:30
יום ו': סגור
יום ש': שעה לאחר צאת השבת - 23:00","הרב מחפוד","03-9037667","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%9E%D7%A4%D7%A0%D7%99%D7%94"
"אושי אושי","האנגר 21, נמל תל אביב","תל אביב","א-ה: 11:00-23:30
ו: 15:00-11:00
מוצ""ש: 20:30-00:00","בית יוסף","6054*","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%90%D7%95%D7%A9%D7%99-%D7%90%D7%95%D7%A9%D7%99"
"לחם בשר","יורדי הסירה 1, נמל תל אביב","תל אביב","א-ד: 12:00-23:00
ה': 12:00-00:00
שישי: 12:00-16:00
שבת: שעה אחרי צאת שבת-00:00","הרב מחפוד","03-525-2558","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%9C%D7%97%D7%9D-%D7%91%D7%A9%D7%A8-3"
"רשל","יוסף יקותיאלי 3,האנגר 27 נמל תל אביב","תל אביב","ימים ראשון – רביעי | 13:00-23:00
יום חמישי | 13:00-01:00
יום ו' | סגור
מוצ""ש סגור","הרב מחפוד","077-8041545","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A8%D7%A9%D7%9C"
"קפה ליון","מתחם מיני, יצחק רבין 5, אור יהודה","אור יהודה","א'-ה' 09:00-23:00 יום ו' 09:00-13:00 מוצ""ש 21:30-00:00","בית יוסף","03-7214979","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%9C%D7%99%D7%95%D7%9F"
"קיטשן גרג","קניון 'אייס מול' מפלס תחתון אילת","אילת","א'-ה' 09:00-23:00
שישי: 09:00- שעה לפני כניסת השבת
מוצ""ש: שעה אחרי צאת השבת עד 23:00","בית יוסף","053-9418780","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%99%D7%98%D7%A9%D7%9F-%D7%92%D7%A8%D7%92"
"קפה גרג","ביג אילת, הסתת 20, אילת,","אילת","א'-ה' 9:00-21:30
יום ו' 8:30-14:30","בית יוסף","","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%92%D7%A8%D7%92-2"
"בליקר בייקרי","הגדוד העברי 6, קניון סימול, אשדוד","אשדוד","ראשון עד חמישי: 08:00-23:00
שישי: 8:30 עד שעתיים לפני כניסת שבת
שבת: חצי שעה מצאת השבת עד אחרון הלקוחות","בית יוסף","08-9757800","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%9C%D7%99%D7%A7%D7%A8-%D7%91%D7%99%D7%99%D7%A7%D7%A8%D7%99-3"
"בראנצ'וס","סטאר סנטר אשדוד","אשדוד","א'-ה' - 10:00-23:00
ו' - 9:00-14:00
מוצ""ש - כשעה אחרי צאת השבת עד 23:30","בית יוסף","053-9380643","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%A8%D7%90%D7%A0%D7%A6-%D7%95%D7%A1-1"
"לולה","הטיילת 20, אשדוד","אשדוד","","מהדרין אשדוד","050-522-5758","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%9C%D7%95%D7%9C%D7%94"
"בראנצ'וס","הנמל 9 מרחנה - אשקלון","אשקלון","א'-ה' - 10:00-23:00
ו' - 9:00-14:00
מוצ""ש - כשעה אחרי צאת השבת עד 23:30","בית יוסף","053-9380643","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%A8%D7%90%D7%A0%D7%A6-%D7%95%D7%A1-3"
"בזיליה","שאול המלך 100, בית שאן","בית שאן","ראשון - חמישי: 23:00 - 09:00
שישי: 13:30 - 09:00
מוצ""ש: שעה מיציאת שבת - 23:30","בית יוסף","052-2962560","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%96%D7%99%D7%9C%D7%99%D7%94"
"קפה רימון","יגאל אלון 3,קניון ביג פאשן בית שמש","בית שמש","א׳-ה׳: 8:00 - 22:30
ו׳: 8:00 - 14:00
מוצ״ש: שעה אחרי שבת - 23:30","הרב מחפוד","02-9955591","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%A8%D7%99%D7%9E%D7%95%D7%9F-1"
"בון קפה","זאב ז׳בוטינסקי 9, בני ברק","בני ברק","א'-ה 08:00-23:00","קהילות","03-651-1806","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%95%D7%9F-%D7%A7%D7%A4%D7%94"
"ביסקוטי","הירקון 67 בני ברק","בני ברק","א'-ה' 7:30-22:00 (מטבח עד 21:30)
יום ו' וערבי חג 07:30-15:00 (מטבח עד 14:30)","בית יוסף","03-5704015","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%99%D7%A1%D7%A7%D7%95%D7%98%D7%99"
"פרמזן","מצדה 9, בני ברק","בני ברק","א–ה 11:00–23:00 • מוצ""ש כשעה אחרי צאת השבת עד חצות","הרב רובין","03-729-5700","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A4%D7%A8%D7%9E%D7%96%D7%9F"
"קפה גרג","מצדה 5, בני ברק,","בני ברק","יום ראשון - חמישי 8:00-23:00
יום שישי 8:00-13:00
מוצ""ש - כשעה אחרי צאת שבת ועד השעה 23:00","מהדרין בני ברק","054-9377766","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%92%D7%A8%D7%92"
"קפה רעים","בר כוכבא 4, בני ברק","בני ברק","א'- ה  08:00-23:00","הרב מחפוד","077-997-3035","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%A8%D7%A2%D7%99%D7%9D"
"לנדוור","מנחם בגין 38, גבעת שמואל","גבעת שמואל","ראשון-חמישי: 08:30-23:00,שישי: 08:00-14:00,מוצ""ש: שעה אחרי שבת- 23:30","בית יוסף","03-7163338","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%9C%D7%A0%D7%93%D7%95%D7%95%D7%A8"
"קפה גרג","שדרות מנחם בגין 30, גבעת שמואל","גבעת שמואל","א-ה 8:00-23:00","בית יוסף","03-5504969","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%92%D7%A8%D7%92-1"
"קפה קפה","יוני נתניהו 25, קניון הגבעה","גבעת שמואל","א'-ה' 08:30-23:00,יום ו': 08:00 עד שלוש שעות לפני כניסת השבת,מוצ""ש: שעה וחצי לאחר צאת השבת ועד 24:00.","הרב מחפוד","03-7172454","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%A7%D7%A4%D7%94-1"
"קפה קפה","הבילויים 5 גדרה","גדרה","א'-ה' 08:00-21:00
יום ו' 08:00-13:30","מהדרין גדרה","08-869-4590","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%A7%D7%A4%D7%94-3"
"נילי","המייסדים 43 זכרון יעקב","זכרון יעקב","א'-ה': 08:30-22:30
ו' (תפריט בוקר בלבד):08:30-14:00
שבת: שעה אחרי צאת השבת עד 23:00 (רק לפי שעון חורף)","מהדרין זכרון יעקב","04-6292899","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A0%D7%99%D7%9C%D7%99"
"הסניור","הבנים 2 טבריה","טבריה","","הרב מחפוד","048355060","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%94%D7%A1%D7%A0%D7%99%D7%95%D7%A8"
"קפה ליון","הנחשול 22, יבנה","יבנה","א' - ה' 08:00-23:30
ו' - 08:00-14:00
שבת - כ 50 דקות לאחר צאת שבת ועד 23:30","בית יוסף","053-6113599","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%9C%D7%99%D7%95%D7%9F-1"
"אייסטורי","שמגר 14 ירושלים","ירושלים","א'-ה' 09:30-22:30
מוצ""ש 20:30-24:00​","העדה החרדית","029972601","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%90%D7%99%D7%99%D7%A1%D7%98%D7%95%D7%A8%D7%99"
"הפי פיש","שדרת אלרוב ממילא מס' 14 ירושלים","ירושלים","א'-ה' 12:00-23:00
יום שישי ושבת סגור","מהדרין ירושלים","02-5482230","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%94%D7%A4%D7%99-%D7%A4%D7%99%D7%A9"
"לוצ'נה","ממילא 8, קניון ממילא, ירושלים","ירושלים","א’-ה’  23:00-10:00
יום ו’  09:00 – 16:00 מוצ”ש  שעה אחרי צאת השבת – 24:00","מהדרין ירושלים","02-5021000","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%9C%D7%95%D7%A6-%D7%A0%D7%94-1"
"מוסקט","כנפי נשרים 24, ירושלים","ירושלים","א'-ה' 08:00-23:30
יום ו' 08:00-13:00","הרב רובין","02-652-4414","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%9E%D7%95%D7%A1%D7%A7%D7%98"
"פיקולינו","רחוב יואל משה סולומון 12, ירושלים","ירושלים","","מהדרין ירושלים","077-9975989","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A4%D7%99%D7%A7%D7%95%D7%9C%D7%99%D7%A0%D7%95"
"קפה גן סיפור","שדרות בן צבי, גן סאקר ירושלים","ירושלים","ימים א'-ה' בשעות 08:00 - 00:00
בשישי - 08:00 - 15:00 (הזמנה אחרונה ב-14:45)
מוצ""ש - 21:30 - 00:00","בית יוסף ומהדרין ירושלים","072-3360999 שלוחה 5","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%92%D7%9F-%D7%A1%D7%99%D7%A4%D7%95%D7%A8"
"קפה דניה - סניף 1","שדרות הרצל 102, ירושלים","ירושלים","א' - ה': 09:00-22:30
יום שישי: 08:00 - 13:30
מוצ""ש: סגור","מהדרין ירושלים","02-6485553","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%93%D7%A0%D7%99%D7%94"
"קפה דניה - סניף 2","כנפי נשרים 35, ירושלים","ירושלים","א' - ה': 09:00-22:30
יום שישי: 08:00 - 13:30
מוצ""ש: סגור","מהדרין ירושלים","02-6475553","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%93%D7%A0%D7%99%D7%94"
"קפה דניה - סניף 3","שרי ישראל 15, סיטי קורט, ירושלים","ירושלים","א' - ה': 09:00-22:30
יום שישי: 08:00 - 13:30
מוצ""ש: סגור","מהדרין ירושלים","077-9800281","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%93%D7%A0%D7%99%D7%94"
"קפה רימון - בן יהודה","לונץ 4, פינת בן יהודה, ירושלים","ירושלים","א׳-ה׳: 8:00 - 22:30
ו׳: 8:00 - 14:00
מוצ״ש: שעה אחרי צאת שבת -23:30","רבנות מהדרין ירושלים","02-6243746","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%A8%D7%99%D7%9E%D7%95%D7%9F"
"קפה רימון - ממילא","יצחק קריב 8, ממילא ירושלים","ירושלים","א׳-ה׳: 8:00 - 23:00
ו׳: 8:00 - 15:00
מוצ״ש - שעה אחרי צאת שבת - 23:00","רבנות מהדרין ירושלים","02-6333030","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%A8%D7%99%D7%9E%D7%95%D7%9F"
"קפה שלוה","רחוב שלוה 1, ירושלים","ירושלים","א'-ה': 08:00-22:30
שישי 08:00-14:00","רבנות מהדרין ירושלים","073-282-2200","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%A9%D7%9C%D7%95%D7%94"
"קפה תמרה","הגן הטכנולוגי, דרך אגודת ספורט הפועל 2 מלחה, ירושלים.","ירושלים","יום א'-ה' 08:00 - 23:00 | ימי שישי 09:00 - 13:30","מהדרין ירושלים","02-992-2392","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%A4%D7%94-%D7%AA%D7%9E%D7%A8%D7%94"
"ריקוטה","קריית המדע 3, ירושלים","ירושלים","א'-ה' 10:00-23:00
יום ו' 9:00-12:00
שעה מצאת שבת-23:00","קהילות","02-587-0222","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A8%D7%99%D7%A7%D7%95%D7%98%D7%94"
"לוצ'נה","הראל 5, מבשרת ציון","מבשרת ציון","א-ד 10:30-23:30
ה 10:30-00:00
ו 9:30-15:00","בית יוסף","02-533-3329","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%9C%D7%95%D7%A6-%D7%A0%D7%94-2"
"ביגה","קניון עזריאלי לב העיר 2 מודיעין","מודיעין","ימים א'-ה' 8:30-22:30
יום ו' 8:00-15:00
יום שבת חצי שעה מצאת השבת עד 23:30","בית יוסף","08-6478491","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%99%D7%92%D7%94-1"
"בליקר בייקרי","קניון עזריאלי, קומה 2, לב העיר 2, מודיעין","מודיעין","ראשון עד חמישי: 08:15-22:00
שישי וערבי חג: 08:15-13:00(בחורף) | 08:15-14:00 (בקיץ)
שבת: שעה מצאת שבת ועד 23:00","בית יוסף","089331055","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%9C%D7%99%D7%A7%D7%A8-%D7%91%D7%99%D7%99%D7%A7%D7%A8%D7%99-2"
"לוצ'נה","שדרות המלאכות 1, מודיעין מכבים רעות","מודיעין","","בית יוסף","08-690-1111","חלבי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%9C%D7%95%D7%A6-%D7%A0%D7%94"
